LOINC Code,Number of Relations
LA7446-3,32425
LA16975-7,18195
LA18199-2,13778
LA7465-3,12028
LA7424-0,11433
LA10529-8,11372
LA10524-9,10965
LA7435-6,8223
LA17713-1,7660
LA7444-8,7380
LA10504-1,6795
LA7447-1,6669
MTHU021171,6522
LA6301-1,5280
LA10574-4,4125
52500-6,3656
LA22099-8,3602
LA10576-9,3396
LA7473-7,3046
LA16982-3,2788
LA17611-7,2736
LA21016-3,2711
LA7542-9,2325
LA15424-7,2226
LA15903-0,2180
LA18283-4,2163
LA10559-5,2117
LP267356-6,2110
LA9664-9,2052
LA25773-5,1966
LA17396-5,1856
LA25421-1,1753
LA18277-6,1721
LA20372-1,1398
LA15099-7,1366
LA7426-5,1362
LA10523-1,1337
LA16304-0,1316
LA17001-1,1296
LA17058-1,1276
LA18821-1,1268
LA10528-0,1259
58258-5,1208
LA29743-4,1204
81660-3,1140
LA7418-2,1101
LA17199-3,1084
LA26134-9,949
LA29721-0,943
LA4579-4,943
LA24488-1,915
LA15899-0,832
LA16354-5,826
LA28752-6,815
LA15382-7,808
54539-2,799
LA10531-4,794
LA18284-2,740
LP212101-2,735
44966-0,709
LP128794-7,708
LP101975-3,639
LA7414-1,630
LP97560-4,612
29463-7,589
LA16985-6,585
58275-9,570
MTHU008883,566
LA4584-4,555
LA7530-4,553
LA9535-1,541
LA9639-1,541
LP21416-0,537
LA7443-0,525
LA7456-2,514
LA17084-7,504
LA20775-5,495
LP20690-1,466
LA22219-2,462
LP128708-7,457
LA7437-2,455
MTHU013512,428
LA10513-2,422
LA15161-5,421
LA10488-7,419
LA17714-9,411
LA7428-1,394
LA7472-9,394
LA21808-3,374
LP269280-6,371
LA4242-9,367
LA7441-4,363
LP20755-2,359
LA15213-4,358
LP200029-9,355
MTHU020828,322
LA17783-4,316
LA7545-2,313
LP19284-6,313
LP16680-8,299
LA18401-2,296
LA7442-2,293
LA18969-8,288
LP94759-5,288
LA17687-7,282
LA7534-6,275
LA24825-4,273
LA15165-6,271
LA18125-7,271
LP14669-3,258
LA18111-7,256
LA18126-5,249
LA24800-7,248
LA10584-3,247
LA7469-5,247
LA7470-3,239
MTHU021540,237
LA19040-7,230
LA9263-0,230
LA22188-9,227
LP208523-3,223
LA29583-4,221
LA27183-5,213
LA7466-1,212
LP130888-3,208
LA4591-9,202
LP217220-5,200
LA6150-2,199
LA18970-6,196
52497-5,194
LA10430-9,193
LA16981-5,192
LA17771-9,190
LA21668-1,190
LA16968-2,183
LP269980-1,178
LA17398-1,175
LP269975-1,174
LA27852-5,172
LP7748-9,170
LA13035-3,168
LA27298-1,167
LP57547-9,163
LA22440-4,162
LA18036-6,156
LA17394-0,152
LA17781-8,149
LA18267-7,149
LP31563-7,145
LA15448-6,142
LP34550-1,141
LP92703-5,133
LA24647-2,132
94037-9,130
LA12748-2,128
LA16993-0,128
LA21805-9,128
82757-6,125
LA19423-5,124
LA7318-4,124
T025,124
LA16991-4,123
LP135358-2,123
LA15860-2,122
MTHU013531,121
LA25346-0,118
LA10545-4,116
LA10527-2,115
LA24638-1,113
LP281361-8,113
LP411655-6,113
LA17774-3,112
LP206728-0,112
LA29197-3,110
MTHU013532,110
LA4585-1,109
LP266259-3,108
LA24628-2,104
LA18924-3,103
LA14305-9,102
LA15162-3,100
LA17393-2,100
LA14279-6,99
LA14298-6,99
LA22109-5,99
LA20277-2,98
LA24636-5,98
LA6684-0,98
LA15685-3,97
LA14303-4,96
LA16983-1,96
LP16772-3,96
LP207957-4,95
LA29634-5,93
